"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 50","23,945.45","24,130.70","23,936.20","23,897.95","24,092.70","-","194.75","0.81","43,02,97,937","36,685.11","26,373.20","22,182.55","5.58","0.22"
"SUNPHARMA","1,625.00","1,766.90","1,621.90","1,620.40","1,731.00","-","110.60","6.83","2,69,95,361","4,660.29","1,851.20","1,548.00","-3.49","-3.16"
"RELIANCE","1,313.00","1,371.60","1,311.00","1,327.80","1,370.00","-","42.20","3.18","2,46,73,098","3,322.16","1,611.80","1,288.10","1.62","5.35"
"INFY","1,154.60","1,179.90","1,154.50","1,154.60","1,172.90","-","18.30","1.58","1,95,79,883","2,295.04","1,728.00","1,152.20","-7.62","-20.76"
"ICICIBANK","1,327.90","1,335.90","1,310.90","1,326.20","1,316.60","-","-9.60","-0.72","1,53,85,625","2,029.67","1,500.00","1,187.60","6.71","-6.28"
"SHRIRAMFIN","1,011.30","1,012.00","963.75","1,011.30","974.00","-","-37.30","-3.69","1,50,96,574","1,473.20","1,108.00","566.50","7.77","48.66"
"HDFCBANK","787.50","793.00","785.00","784.85","790.00","-","5.15","0.66","1,81,15,375","1,429.59","1,020.50","726.65","4.47","-17.33"
"TCS","2,396.90","2,459.00","2,396.90","2,396.90","2,448.00","-","51.10","2.13","58,53,425","1,427.98","3,630.50","2,346.20","2.44","-29.00"
"AXISBANK","1,325.00","1,327.30","1,299.90","1,365.90","1,325.40","-","-40.50","-2.97","1,07,68,267","1,417.19","1,418.30","1,042.50","9.97","13.64"
"SBIN","1,110.95","1,114.80","1,103.40","1,101.10","1,112.00","-","10.90","0.99","1,16,24,385","1,289.59","1,234.70","755.50","9.07","39.23"
"WIPRO","199.36","205.25","199.36","199.36","204.98","-","5.62","2.82","4,26,32,215","868.12","273.10","186.50","6.98","-14.91"
"ETERNAL","257.50","261.27","254.65","256.79","254.96","-","-1.83","-0.71","3,20,02,337","821.66","368.45","212.60","9.35","11.43"
"LT","4,058.00","4,089.50","4,030.20","4,014.30","4,055.00","-","40.70","1.01","20,00,348","813.41","4,440.00","3,230.10","13.77","23.93"
"BEL","445.00","448.30","432.95","444.45","436.00","-","-8.45","-1.90","1,85,02,535","809.62","473.45","293.70","7.72","46.51"
"BHARTIARTL","1,816.10","1,828.40","1,814.00","1,814.50","1,816.00","-","1.50","0.08","44,13,769","803.96","2,174.50","1,746.90","-1.51","-0.07"
"HCLTECH","1,209.00","1,232.00","1,201.00","1,203.20","1,230.20","-","27.00","2.24","60,66,942","739.04","1,780.10","1,198.10","-9.84","-22.05"
"BAJFINANCE","923.05","928.95","908.30","921.55","923.00","-","1.45","0.16","78,13,458","719.55","1,102.50","787.90","9.39","1.29"
"TATASTEEL","211.00","215.00","210.93","210.07","213.28","-","3.21","1.53","3,30,68,230","706.73","216.45","138.00","10.38","53.60"
"ULTRACEMCO","12,148.00","12,240.00","11,869.00","11,998.00","12,000.00","-","2.00","0.02","5,67,601","685.62","13,110.00","10,325.00","8.61","-1.94"
"JIOFIN","247.10","254.70","247.02","245.73","254.60","-","8.87","3.61","2,58,70,371","648.78","338.60","223.30","9.48","0.61"
"ADANIPORTS","1,600.00","1,649.90","1,593.00","1,585.10","1,628.00","-","42.90","2.71","37,87,783","617.43","1,649.90","1,181.20","21.69","36.46"
"M&M","3,050.00","3,114.00","3,050.00","3,038.40","3,104.80","-","66.40","2.19","18,16,150","561.75","3,839.90","2,831.10","2.09","8.40"
"NTPC","403.90","414.40","402.60","401.85","412.20","-","10.35","2.58","1,30,01,752","533.10","414.40","315.55","9.73","15.64"
"TRENT","4,336.00","4,348.50","4,246.40","4,297.30","4,256.00","-","-41.30","-0.96","10,57,820","454.24","6,261.00","3,275.50","25.19","-17.28"
"HINDALCO","1,058.35","1,066.50","1,052.00","1,048.35","1,064.40","-","16.05","1.53","42,41,483","449.49","1,066.50","603.75","22.81","71.10"
"ITC","303.65","305.65","302.85","301.60","304.00","-","2.40","0.80","1,43,82,348","437.40","444.20","287.00","3.16","-28.94"
"KOTAKBANK","375.00","380.45","373.25","370.85","377.00","-","6.15","1.66","1,15,59,552","436.10","453.20","345.50","2.96","-14.49"
"MARUTI","13,153.00","13,270.00","13,043.00","13,048.00","13,225.00","-","177.00","1.36","3,12,786","411.58","17,370.00","11,289.00","6.75","13.05"
"INDIGO","4,522.20","4,584.30","4,507.00","4,523.10","4,565.00","-","41.90","0.93","8,33,925","379.70","6,232.50","3,895.20","11.36","-14.09"
"ADANIENT","2,300.20","2,337.00","2,286.00","2,287.60","2,322.30","-","34.70","1.52","15,00,864","347.85","2,616.50","1,753.00","27.39","1.60"
"SBILIFE","1,768.90","1,818.50","1,759.00","1,768.90","1,814.00","-","45.10","2.55","19,18,952","345.91","2,132.00","1,603.00","-1.28","7.01"
"TMPV","351.00","356.80","350.25","350.50","354.35","-","3.85","1.10","97,13,765","343.34","744.00","294.30","16.87","-45.92"
"HDFCLIFE","595.00","603.45","590.10","588.20","595.30","-","7.10","1.21","55,48,234","332.02","820.75","555.10","-2.44","-15.51"
"COALINDIA","458.50","460.65","450.65","456.00","454.50","-","-1.50","-0.33","69,22,067","314.15","476.00","368.65","2.12","15.60"
"POWERGRID","318.00","324.95","316.95","316.40","321.00","-","4.60","1.45","93,34,181","299.70","324.95","250.00","8.63","4.73"
